scenario_id,category,fault,aggregate_scope,device_count,runtime_or_model,seed,expected_outcome,actual_outcome,cursor_invariant,outbox_invariant,effect_count_invariant,tenant_invariant,evidence
PROC_AFTER_ENQUEUE,process,kill after durable enqueue,ALL,1,MODEL,11,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
PROC_DURING_PUSH,process,kill during push,ALL,1,MODEL,12,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
PROC_POST_COMMIT_PRE_ACK,process,kill after server commit before ACK persistence,FINANCIAL/INVENTORY,1,MODEL,13,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
PROC_DURING_PULL,process,kill during pull,ALL,1,MODEL,14,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
PROC_BEFORE_CURSOR,process,kill before cursor commit,ALL,1,MODEL,15,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
DATA_MULTI_PAGE,data,more than one page,ALL,1,MODEL,16,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
DATA_DUPLICATE,data,duplicate event,ALL,1,MODEL,17,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
DATA_REORDER,data,reordered network responses,ALL,1,MODEL,18,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
DATA_DELETE_RECREATE,data,delete/recreate,VERSIONED,2,MODEL,19,EXPECTED_REVIEW_REQUIRED,EXPECTED_REVIEW_REQUIRED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
DATA_EDIT_DELETE,data,edit/delete conflict,VERSIONED,2,MODEL,20,EXPECTED_REVIEW_REQUIRED,EXPECTED_REVIEW_REQUIRED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
DATA_UNSUPPORTED,data,unsupported payload version,ALL,1,MODEL,21,EXPECTED_RECOVERY_REQUIRED_THEN_CONVERGED,EXPECTED_RECOVERY_REQUIRED_THEN_CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
MULTI_CLIENT_EDIT,multi,A and B edit same client,PARTY_IDENTITY,2,MODEL,22,EXPECTED_REVIEW_REQUIRED,EXPECTED_REVIEW_REQUIRED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
MULTI_DELETE_EDIT,multi,A deletes while B edits,PARTY_IDENTITY,2,MODEL,23,EXPECTED_REVIEW_REQUIRED,EXPECTED_REVIEW_REQUIRED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
MULTI_LONG_OFFLINE,multi,A offline long period then returns,ALL,2,MODEL,24,EXPECTED_RECOVERY_REQUIRED_THEN_CONVERGED,EXPECTED_RECOVERY_REQUIRED_THEN_CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
MULTI_INVOICE_PAYMENT,multi,invoice/payment ordering,INVOICE/PAYMENT,2,MODEL,25,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
MULTI_INVENTORY,multi,inventory movement conflict,INVENTORY_MOVEMENT,2,MODEL,26,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
MULTI_CASH_EXPENSE,multi,cash/expense commands,CASH_MOVEMENT/EXPENSE,2,MODEL,27,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
MULTI_SHIPMENT,multi,shipment state transitions,SHIPMENT,2,MODEL,28,CONVERGED,CONVERGED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
TENANT_LOGOUT_LOGIN,tenancy,logout/login,ALL,1,MODEL,29,EXPECTED_AUTH_BLOCKED,EXPECTED_AUTH_BLOCKED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
TENANT_ORG_SWITCH,tenancy,switch organization,ALL,1,MODEL,30,EXPECTED_AUTH_BLOCKED,EXPECTED_AUTH_BLOCKED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
TENANT_STALE_WORKER,tenancy,stale WorkManager job,ALL,1,MODEL,31,EXPECTED_AUTH_BLOCKED,EXPECTED_AUTH_BLOCKED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
TENANT_STALE_REALTIME,tenancy,stale Realtime channel,ALL,1,MODEL,32,EXPECTED_AUTH_BLOCKED,EXPECTED_AUTH_BLOCKED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
TENANT_RLS,tenancy,RLS adversarial cross-tenant,ALL,2,MODEL,33,EXPECTED_AUTH_BLOCKED,EXPECTED_AUTH_BLOCKED,server-revision/opaque-cursor-only,durable-intent-preserved,exactly-once where effectful,scope/epoch fail-closed,tools/test_sync_cutover_verification_v314.py
