surface_id,file,symbol,category,aggregate_or_scope,current_runtime_callers,replacement,retire_gate,final_action,runtime_use_count,evidence
L011,core/common/src/main/kotlin/com/verto/app/data/sync/SyncDeletionSnapshot.kt,SyncDeletionSnapshot:1,DATASTORE_DELETE_QUEUE,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox intent,pending entries empty or identity-preserving migration,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L012,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pendingDeletion:4,DATASTORE_DELETE_QUEUE,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox intent,pending entries empty or identity-preserving migration,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L013,data/network/src/main/kotlin/com/verto/app/data/sync/SyncClients.kt,pendingDeletion:2,DATASTORE_DELETE_QUEUE,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox intent,pending entries empty or identity-preserving migration,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L014,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,pendingDeletion:6,DATASTORE_DELETE_QUEUE,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox intent,pending entries empty or identity-preserving migration,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L015,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryReconciliation.kt,pendingDeletion:1,DATASTORE_DELETE_QUEUE,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox intent,pending entries empty or identity-preserving migration,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L016,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoiceHeaders.kt,pendingDeletion:2,DATASTORE_DELETE_QUEUE,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox intent,pending entries empty or identity-preserving migration,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L017,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pendingDeletion:4,DATASTORE_DELETE_QUEUE,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox intent,pending entries empty or identity-preserving migration,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L018,data/network/src/main/kotlin/com/verto/app/data/sync/SyncRuntime.kt,captureDeletionSnapshot:1;SyncDeletionSnapshot:2,DATASTORE_DELETE_QUEUE,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox intent,pending entries empty or identity-preserving migration,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L019,data/sync/src/main/kotlin/com/verto/app/data/sync/SyncManager.kt,captureDeletionSnapshot:2,DATASTORE_DELETE_QUEUE,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox intent,pending entries empty or identity-preserving migration,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L020,data/sync/src/main/kotlin/com/verto/app/data/sync/SyncParticipant.kt,SyncDeletionSnapshot:1,DATASTORE_DELETE_QUEUE,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox intent,pending entries empty or identity-preserving migration,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L021,data/database/src/main/kotlin/com/verto/app/data/local/dao/ClientCreditDao.kt,isDirty:2;mark\w*Clean:1,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L022,data/database/src/main/kotlin/com/verto/app/data/local/dao/ClientDao.kt,isDirty:3;mark\w*Clean:1,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L023,data/database/src/main/kotlin/com/verto/app/data/local/dao/EducationalContentDao.kt,isDirty:2;mark\w*Clean:1,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L024,data/database/src/main/kotlin/com/verto/app/data/local/dao/ExpenseDao.kt,isDirty:2;mark\w*Clean:1,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L025,data/database/src/main/kotlin/com/verto/app/data/local/dao/InventoryDao.kt,isDirty:13;mark\w*Clean:1,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L026,data/database/src/main/kotlin/com/verto/app/data/local/dao/InventoryReconciliationDao.kt,isDirty:1,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L027,data/database/src/main/kotlin/com/verto/app/data/local/dao/InvoiceDao.kt,isDirty:10;mark\w*Clean:2,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L028,data/database/src/main/kotlin/com/verto/app/data/local/dao/OptimalCompanyInvoiceReadDao.kt,isDirty:4,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L029,data/database/src/main/kotlin/com/verto/app/data/local/dao/PaymentDao.kt,isDirty:2;mark\w*Clean:1,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L030,data/network/src/main/kotlin/com/verto/app/data/sync/InvoiceItemsSyncPlanner.kt,isDirty:4,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L031,data/network/src/main/kotlin/com/verto/app/data/sync/SyncClientCredits.kt,isDirty:1;mark\w*Clean:1,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L032,data/network/src/main/kotlin/com/verto/app/data/sync/SyncClients.kt,isDirty:2;mark\w*Clean:1,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L033,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,isDirty:4;mark\w*Clean:3,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L034,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoiceHeaders.kt,isDirty:2;mark\w*Clean:1,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L035,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoiceLines.kt,isDirty:4;mark\w*Clean:1,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L036,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoicePayments.kt,isDirty:2;mark\w*Clean:1,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L037,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,isDirty:1;mark\w*Clean:1,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L038,feature/dashboard/src/main/kotlin/com/verto/app/feature/dashboard/data/education/EducationalContentSyncParticipant.kt,isDirty:3;mark\w*Clean:2,GENERIC_DIRTY_PUSH,FILE_SCOPE,STATIC_CLASSIFIED,durable unified/stronger outbox writer,V2 authoritative slice + zero reachable network writer,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L039,app/src/main/kotlin/com/verto/app/feature/invoice/bridge/InvoicePresentationBridge.kt,fullSync\(:1,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L040,app/src/main/kotlin/com/verto/app/feature/sync/presentation/SyncViewModel.kt,fullSync\(:2,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L041,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoiceHeaders.kt,fullSync\(:1,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L042,data/sync/src/main/kotlin/com/verto/app/data/sync/SyncManager.kt,fullSync\(:2,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L043,data/sync/src/main/kotlin/com/verto/app/data/sync/SyncOperations.kt,fullSync\(:2,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L044,data/sync/src/main/kotlin/com/verto/app/data/sync/SyncWorker.kt,fullSync\(:1,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L045,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/InvoicePresentationService.kt,fullSync\(:2,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L046,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/port/InvoicePresentationPort.kt,fullSync\(:1,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L047,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/presentation/invoice/InvoiceViewModel.kt,fullSync\(:2,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L048,feature/party/src/main/kotlin/com/verto/app/feature/party/application/PartyApplicationService.kt,fullSync\(:2,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L049,feature/party/src/main/kotlin/com/verto/app/feature/party/application/port/PartyPresentationPorts.kt,fullSync\(:1,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L050,feature/party/src/main/kotlin/com/verto/app/feature/party/data/PartyPresentationAdapter.kt,fullSync\(:1,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L051,feature/party/src/main/kotlin/com/verto/app/feature/party/presentation/client/ClientViewModel.kt,fullSync\(:1,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L052,feature/party/src/main/kotlin/com/verto/app/feature/party/presentation/client/ClientsListScreen.kt,fullSync\(:1,LEGACY_FULL_SYNC,FILE_SCOPE,STATIC_CLASSIFIED,durable v311 orchestration via rollout policy,LEGACY_FALLBACK off + production reachability zero,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L053,data/network/src/main/kotlin/com/verto/app/data/sync/SyncRuntime.kt,SyncV2Cursor:2,LEGACY_SYNCV2_SCAFFOLD,FILE_SCOPE,STATIC_CLASSIFIED,trusted bootstrap/recovery opaque cursor,production caller zero; never synthesize opaque cursor,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L054,data/preferences/src/main/kotlin/com/verto/app/utils/PreferenceKeys.kt,KEY_SYNC_V2:2,LEGACY_SYNCV2_SCAFFOLD,FILE_SCOPE,STATIC_CLASSIFIED,trusted bootstrap/recovery opaque cursor,production caller zero; never synthesize opaque cursor,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L055,data/preferences/src/main/kotlin/com/verto/app/utils/PreferencesManager.kt,SyncV2Cursor:4,LEGACY_SYNCV2_SCAFFOLD,FILE_SCOPE,STATIC_CLASSIFIED,trusted bootstrap/recovery opaque cursor,production caller zero; never synthesize opaque cursor,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L056,data/preferences/src/main/kotlin/com/verto/app/utils/SyncPreferencesStore.kt,SyncV2Cursor:2;KEY_SYNC_V2:8,LEGACY_SYNCV2_SCAFFOLD,FILE_SCOPE,STATIC_CLASSIFIED,trusted bootstrap/recovery opaque cursor,production caller zero; never synthesize opaque cursor,PRESERVE_314S_CLASSIFIED_FOR_GATED_RETIREMENT,NOT_MEASURED_STATIC,static source scan
L057,data/sync/src/main/kotlin/com/verto/app/data/sync/RealtimeManager.kt,Realtime hint listener,LEGACY_REALTIME_FULLSYNC,ORGANIZATION,0 production legacy-fullSync callers,durable requestSync hint,preserve v312 zero direct fullSync,ALREADY_RETIRED_AUTHORITY,0,v312 regression + source scan
L058,app/schemas/com.verto.app.data.local.AppDatabase/81.json,legacy columns/dirty residue,DORMANT_SCHEMA_RESIDUE,ROOM81,schema retained,no runtime authority,no production reader/writer/network authority,PRESERVE_DORMANT_NO_ROOM82,NOT_MEASURED_STATIC,Room81 frozen
