aggregate_id,migration_owner_session,producer_file,producer_symbol,producer_kind,origin,local_tables,write_operation,server_path,current_mechanism_before,capture_strategy_after,outbox_table,transaction_owner,mutation_id_source,organization_id_source,payload_version,operation_type,delete_policy,command_batch_strategy,attachment_strategy,legacy_compatibility_side_effect,remote_apply_exclusion,status,evidence
REMINDER,307,feature/party/src/main/kotlin/com/verto/app/feature/party/data/PartyPresentationAdapter.kt,insertReminder,DOMAIN_COMMAND,LOCAL_MUTATION,client_reminders,UPSERT,client_reminders,legacy direct/snapshot sync,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/party/src/main/kotlin/com/verto/app/feature/party/data/PartyPresentationAdapter.kt#insertReminder,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,UPSERT,VERSIONED_DELETE,NONE,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/party/src/main/kotlin/com/verto/app/feature/party/data/PartyPresentationAdapter.kt#insertReminder
REMINDER,307,feature/party/src/main/kotlin/com/verto/app/feature/party/data/PartyPresentationAdapter.kt,deleteReminder,DOMAIN_COMMAND,LOCAL_MUTATION,client_reminders,DELETE,client_reminders,legacy direct/snapshot sync,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/party/src/main/kotlin/com/verto/app/feature/party/data/PartyPresentationAdapter.kt#deleteReminder,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,DELETE,VERSIONED_DELETE,NONE,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/party/src/main/kotlin/com/verto/app/feature/party/data/PartyPresentationAdapter.kt#deleteReminder
REMINDER,307,feature/party/src/main/kotlin/com/verto/app/feature/party/data/PartyPresentationAdapter.kt,markReminderDone,DOMAIN_COMMAND,LOCAL_MUTATION,client_reminders,COMMAND,client_reminders,legacy direct/snapshot sync,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/party/src/main/kotlin/com/verto/app/feature/party/data/PartyPresentationAdapter.kt#markReminderDone,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,COMMAND,VERSIONED_DELETE,NONE,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/party/src/main/kotlin/com/verto/app/feature/party/data/PartyPresentationAdapter.kt#markReminderDone
REMINDER,307,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pullReminders,LEGACY_PULL,REMOTE_APPLY,client_reminders,UPSERT,client_reminders,legacy direct/snapshot sync,NO_ENQUEUE_REMOTE_APPLY,NONE,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt#pullReminders,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,UPSERT,VERSIONED_DELETE,NONE,NONE,NONE,pull writes never call unified writer,REMOTE_APPLY_NO_ENQUEUE,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt#pullReminders
INVENTORY_ITEM,307,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt,saveItem,DOMAIN_COMMAND,LOCAL_MUTATION,inventory_items,UPSERT,inventory_items|archive_inventory_item_v2,isDirty/archive + DataStore deletion queue,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt#saveItem,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,UPSERT,ARCHIVE,NONE,NONE,isDirty remains compatibility-only,N/A,MIGRATED_UNIFIED_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt#saveItem
INVENTORY_ITEM,307,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt,deleteItem,DOMAIN_COMMAND,LOCAL_MUTATION,inventory_items,ARCHIVE,inventory_items|archive_inventory_item_v2,isDirty/archive + DataStore deletion queue,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt#deleteItem,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,ARCHIVE,ARCHIVE,NONE,NONE,isDirty remains compatibility-only,N/A,MIGRATED_UNIFIED_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt#deleteItem
INVENTORY_UNIT,307,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt,saveUnit,DOMAIN_COMMAND,LOCAL_MUTATION,inventory_units,UPSERT,inventory_units,full snapshot + DataStore deletion queue,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt#saveUnit,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,UPSERT,VERSIONED_DELETE,NONE,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt#saveUnit
ITEM_CATEGORY,307,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt,replaceCategories,DOMAIN_COMMAND,LOCAL_MUTATION,item_categories,UPSERT,item_categories,legacy direct/snapshot sync,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt#replaceCategories,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,UPSERT,VERSIONED_DELETE,single final-set aggregate mutation,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt#replaceCategories
INVENTORY_ITEM,307,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt,updateBuyPrice,DOMAIN_COMMAND,LOCAL_MUTATION,inventory_items,UPSERT,inventory_items|archive_inventory_item_v2,isDirty/archive + DataStore deletion queue,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt#updateBuyPrice,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,UPSERT,ARCHIVE,NONE,NONE,isDirty compatibility marker,N/A,MIGRATED_UNIFIED_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt#updateBuyPrice
INVENTORY_UNIT,307,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt,deleteUnit,DOMAIN_COMMAND,LOCAL_MUTATION,inventory_units,DELETE,inventory_units,full snapshot + DataStore deletion queue,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt#deleteUnit,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,DELETE,VERSIONED_DELETE,NONE,NONE,pendingUnitDeletion AFTER durable commit,N/A,MIGRATED_UNIFIED_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt#deleteUnit
ITEM_CATEGORY,307,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt,setItemCategories,DOMAIN_COMMAND,LOCAL_MUTATION,item_categories,UPSERT,item_categories,legacy direct/snapshot sync,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt#setItemCategories,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,UPSERT,VERSIONED_DELETE,NONE,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt#setItemCategories
CATEGORY,307,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt,addMasterCategory,DOMAIN_COMMAND,LOCAL_MUTATION,categories,UPSERT,categories,full snapshot + DataStore deletion queue,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt#addMasterCategory,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,UPSERT,VERSIONED_DELETE,NONE,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt#addMasterCategory
CATEGORY,307,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt,updateMasterCategory,DOMAIN_COMMAND,LOCAL_MUTATION,categories,UPSERT,categories,full snapshot + DataStore deletion queue,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt#updateMasterCategory,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,UPSERT,VERSIONED_DELETE,NONE,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt#updateMasterCategory
CATEGORY,307,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt,deleteMasterCategory,DOMAIN_COMMAND,LOCAL_MUTATION,categories,DELETE,categories,full snapshot + DataStore deletion queue,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt#deleteMasterCategory,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,DELETE,VERSIONED_DELETE,NONE,NONE,pendingCategoryDeletion AFTER durable commit,N/A,MIGRATED_UNIFIED_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt#deleteMasterCategory
PRICE_LIST,307,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryPresentationAdapters.kt,insertItem,DOMAIN_COMMAND,LOCAL_MUTATION,price_list_header|price_list_items,UPSERT,price_list_header|price_list_items,full snapshot + DataStore deletion queue,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryPresentationAdapters.kt#insertItem,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,UPSERT,VERSIONED_DELETE,header+items represented by one logical PRICE_LIST command,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryPresentationAdapters.kt#insertItem
PRICE_LIST,307,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryPresentationAdapters.kt,updateItem,DOMAIN_COMMAND,LOCAL_MUTATION,price_list_header|price_list_items,UPSERT,price_list_header|price_list_items,full snapshot + DataStore deletion queue,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryPresentationAdapters.kt#updateItem,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,UPSERT,VERSIONED_DELETE,header+items represented by one logical PRICE_LIST command,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryPresentationAdapters.kt#updateItem
PRICE_LIST,307,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryPresentationAdapters.kt,deleteItem,DOMAIN_COMMAND,LOCAL_MUTATION,price_list_header|price_list_items,DELETE,price_list_header|price_list_items,full snapshot + DataStore deletion queue,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryPresentationAdapters.kt#deleteItem,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,DELETE,VERSIONED_DELETE,header+items represented by one logical PRICE_LIST command,NONE,pendingPriceListDeletion AFTER durable commit,N/A,MIGRATED_UNIFIED_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryPresentationAdapters.kt#deleteItem
INVENTORY_MOVEMENT,310,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt,recordBatch,DOMAIN_COMMAND,LOCAL_MUTATION,inventory_movements|inventory_stock_outbox,COMMAND,inventory_apply_commands_v2|inventory_pull_movements_v2|inventory_prepare_reconciliation_batch_v2,inventory_stock_outbox + revision cursor,inventory stock writer transaction+specialized outbox,inventory_stock_outbox,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt#recordBatch,inventory writeId/idempotency key,trusted SessionReader / domain tenant,1,COMMAND,NO_CLIENT_DELETE,NONE,NONE,NONE,N/A,PRESERVED_STRONGER_OUTBOX,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt#recordBatch
INVENTORY_COST_REVISION,310,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt,pushInventoryCostRevisions,DOMAIN_COMMAND,LOCAL_MUTATION,inventory_cost_revisions|inventory_cost_outbox,COMMAND,inventory_apply_cost_revisions_v2|inventory_pull_cost_revisions_v2,inventory_cost_outbox + revision cursor,existing inventory cost outbox + revision cursor,inventory_cost_outbox,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt#pushInventoryCostRevisions,cost revision write identity,trusted SessionReader / domain tenant,1,COMMAND,NO_CLIENT_DELETE,NONE,NONE,NONE,N/A,PRESERVED_STRONGER_OUTBOX,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt#pushInventoryCostRevisions
PURCHASE_ORDER,307,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt,createOrder,DOMAIN_COMMAND,LOCAL_MUTATION,purchase_orders|purchase_order_lines,UPSERT,purchase_orders|purchase_order_lines|verto_purchase_cycle_push_pre_v253,legacy direct/snapshot sync,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt#createOrder,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,UPSERT,CANCEL_STATE_TRANSITION,writeId/semantic command batch,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt#createOrder
PURCHASE_ORDER,307,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt,close,DOMAIN_COMMAND,LOCAL_MUTATION,purchase_orders|purchase_order_lines,COMMAND,purchase_orders|purchase_order_lines|verto_purchase_cycle_push_pre_v253,legacy direct/snapshot sync,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt#close,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,COMMAND,CANCEL_STATE_TRANSITION,writeId/semantic command batch,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt#close
PURCHASE_ORDER,307,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt,receive,DOMAIN_COMMAND,LOCAL_MUTATION,purchase_orders|purchase_order_lines,COMMAND,purchase_orders|purchase_order_lines|verto_purchase_cycle_push_pre_v253,legacy direct/snapshot sync,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt#receive,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,COMMAND,CANCEL_STATE_TRANSITION,receipt writeId batch,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt#receive
PURCHASE_ORDER,307,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/purchase/LinkPurchaseOrderToShipmentUseCase.kt,invoke,DOMAIN_COMMAND,LOCAL_MUTATION,purchase_orders|purchase_order_lines,COMMAND,purchase_orders|purchase_order_lines|verto_purchase_cycle_push_pre_v253,legacy direct/snapshot sync,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/purchase/LinkPurchaseOrderToShipmentUseCase.kt#invoke,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,COMMAND,CANCEL_STATE_TRANSITION,shared PO↔SHIPMENT batch,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/purchase/LinkPurchaseOrderToShipmentUseCase.kt#invoke
SHIPMENT,307,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/purchase/LinkPurchaseOrderToShipmentUseCase.kt,invoke,DOMAIN_COMMAND,LOCAL_MUTATION,logistics_shipments|logistics_shipment_sources|logistics_shipment_lines|logistics_milestones|logistics_assignments|logistics_events|logistics_partners|logistics_shipment_legs|logistics_custody_handoffs|logistics_shipment_partner_links|logistics_transport_details|logistics_documents|logistics_costs|logistics_payments|logistics_route_templates|logistics_route_template_stops|logistics_receiving_batches|logistics_receiving_lines|logistics_inventory_postings|logistics_cost_allocations|logistics_shortages|logistics_recoveries|logistics_recovery_lines|logistics_recovery_postings,COMMAND,logistics_shipments|logistics_shipment_sources|logistics_shipment_lines|logistics_milestones|logistics_assignments|logistics_events|logistics_partners|logistics_shipment_legs|logistics_custody_handoffs|logistics_shipment_partner_links|logistics_transport_details|logistics_documents|logistics_costs|logistics_payments|logistics_route_templates|logistics_route_template_stops|logistics_receiving_batches|logistics_receiving_lines|logistics_inventory_postings|logistics_cost_allocations|logistics_shortages|logistics_recoveries|logistics_recovery_lines|logistics_recovery_postings,remote path inert behind SERVER_CONTRACT_VERIFIED=false,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/purchase/LinkPurchaseOrderToShipmentUseCase.kt#invoke,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,COMMAND,CANCEL_STATE_TRANSITION,shared PO↔SHIPMENT batch,NONE,NONE,N/A,MIGRATED_UNIFIED_OUTBOX,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/purchase/LinkPurchaseOrderToShipmentUseCase.kt#invoke
GOODS_RECEIPT,310,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt,receive,DOMAIN_COMMAND,LOCAL_MUTATION,goods_receipts|goods_receipt_lines|purchase_cycle_attachments,COMMAND,goods_receipts|goods_receipt_lines|purchase_cycle_attachments|verto_purchase_cycle_push_pre_v253,legacy direct/snapshot sync,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt#receive,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,COMMAND,NO_CLIENT_DELETE,receipt writeId batch,NONE,server integration remains owner 310,N/A,MIGRATED_UNIFIED_OUTBOX,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt#receive
PURCHASE_MATCH,310,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt,persistSupplierInvoiceMatch,DOMAIN_COMMAND,LOCAL_MUTATION,purchase_invoice_matches|purchase_invoice_match_lines|purchase_invoice_receipt_allocations,COMMAND,purchase_invoice_matches|purchase_invoice_match_lines|purchase_invoice_receipt_allocations|verto_purchase_cycle_push_post_v253,legacy direct/snapshot sync,ROOM_ATOMIC_UNIFIED_OUTBOX,sync_outbox,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt#persistSupplierInvoiceMatch,command/write identity or one-time UUID,trusted SessionReader / domain tenant,1,COMMAND,NO_CLIENT_DELETE,NONE,NONE,server integration remains owner 310,N/A,MIGRATED_UNIFIED_OUTBOX,feature/invoice/src/main/kotlin/com/verto/app/feature/invoice/application/PurchaseCycleCoordinator.kt#persistSupplierInvoiceMatch
