aggregate_id,migration_owner_session,conflict_policy,delete_policy,payload_version,server_paths,server_capture_status_v305,legacy_pull_file,legacy_pull_symbol,legacy_cursor_kind,v308_applier_file,v308_applier_symbol,local_tables,supported_operations,pending_local_mutation_guard,remote_apply_no_enqueue,transaction_group_behavior,tombstone_behavior,runtime_cutover_state,v308_status,evidence
EXPENSE,310,SEMANTIC_COMMAND,VOID_OR_REVERSE,1,expenses,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pushExpenses|pushExpenseDeletions|pullExpenses,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,,,expenses,DEFERRED_TO_310,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,VOID_OR_REVERSE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
GOODS_RECEIPT,310,SEMANTIC_COMMAND,NO_CLIENT_DELETE,1,goods_receipts|goods_receipt_lines|purchase_cycle_attachments|verto_purchase_cycle_push_pre_v253,NOT_APPLICABLE_UNTIL_OWNER_SESSION,data/network/src/main/kotlin/com/verto/app/data/sync/SyncPurchaseCycle.kt,pushPurchaseCyclePreInvoices|pullPurchaseCyclePreInvoices,FULL_SNAPSHOT_OR_NO_CURSOR,,,goods_receipts|goods_receipt_lines|purchase_cycle_attachments,UPSERT|COMMAND,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
INVENTORY_COST_REVISION,310,IMMUTABLE_REVISION,NO_CLIENT_DELETE,1,inventory_apply_cost_revisions_v2|inventory_pull_cost_revisions_v2,NOT_APPLICABLE_UNTIL_OWNER_SESSION,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt,pushInventoryCostRevisions|pullInventoryCostRevisions,SERVER_REVISION_CURSOR_IN_INVENTORY_SYNC_STATE,,,inventory_cost_revisions|inventory_cost_outbox,UPSERT|COMMAND,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
INVENTORY_ITEM,307,OPTIMISTIC_VERSION,ARCHIVE,1,inventory_items|archive_inventory_item_v2,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED|NOT_APPLICABLE_UNTIL_OWNER_SESSION,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,pushInventoryItems|pushInventoryDeletions|pullInventoryItems,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyInventoryItem,inventory_items,UPSERT|ARCHIVE,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,ARCHIVE,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyInventoryItem
INVENTORY_MOVEMENT,310,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,1,inventory_apply_commands_v2|inventory_pull_movements_v2|inventory_prepare_reconciliation_batch_v2,NOT_APPLICABLE_UNTIL_OWNER_SESSION,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt|data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryReconciliation.kt,pushInventoryMovements|pullInventoryMovements|prepareReconciliationBatch,SERVER_REVISION_CURSOR_IN_INVENTORY_SYNC_STATE,,,inventory_movements|inventory_stock_outbox,UPSERT|COMMAND,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
INVENTORY_UNIT,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,inventory_units,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,pushInventoryUnits|pushUnitDeletions|pullInventoryUnits,FULL_SNAPSHOT_OR_NO_CURSOR,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyInventoryUnit,inventory_units,UPSERT|DELETE,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,VERSIONED_DELETE,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyInventoryUnit
INVOICE,310,SEMANTIC_COMMAND,VOID_OR_REVERSE,1,invoices|invoice_items|financial_sync_apply_event_v1|financial_sync_pull_events_v1,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED|NOT_APPLICABLE_UNTIL_OWNER_SESSION,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoiceHeaders.kt|data/network/src/main/kotlin/com/verto/app/data/sync/SyncFinancialEvents.kt,pushInvoices|pushFinancialOutbox|pullFinancialInbox,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,,,invoices|invoice_items|financial_outbox|financial_inbox,DEFERRED_TO_310,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,VOID_OR_REVERSE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
ITEM_CATEGORY,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,item_categories,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,pushItemCategories|pullItemCategories,FULL_SNAPSHOT_OR_NO_CURSOR,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyItemCategory,item_categories,UPSERT|DELETE,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,VERSIONED_DELETE,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyItemCategory
NOTE,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,notes,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pushNotes|pullNotes,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyNote,notes,UPSERT|DELETE,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,VERSIONED_DELETE,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyNote
NOTIFICATION,308,SERVER_AUTHORITATIVE,SERVER_OWNED,1,get_my_notifications_cache,READ_ONLY_SERVER_AUTHORITY,data/network/src/main/kotlin/com/verto/app/data/sync/SyncNotifications.kt,pullNotifications,FULL_SNAPSHOT_OR_NO_CURSOR,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyNotification,notification cache / server-owned,UPSERT|DELETE,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,SERVER_OWNED,V2_OFF_LEGACY_DEFAULT,SERVER_READ_ONLY_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyNotification
OPTIMAL_FOLLOW_UP,310,BRIDGE_EXISTING_STRONGER_CONTRACT,NO_CLIENT_DELETE,1,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,EXISTING_STREAM_PRESERVED,feature/integration/optimal/src/main/kotlin/com/verto/app/feature/integration/optimal/application/OptimalOutboxSyncParticipant.kt,OptimalOutboxSyncParticipant.syncOrganization,SERVER_REVISION_REFERENCE_ONLY,,,optimal_maintenance_follow_ups|optimal_outbox,UPSERT|COMMAND,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
OPTIMAL_MAINTENANCE,310,BRIDGE_EXISTING_STRONGER_CONTRACT,NO_CLIENT_DELETE,1,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,EXISTING_STREAM_PRESERVED,feature/integration/optimal/src/main/kotlin/com/verto/app/feature/integration/optimal/data/ContractGuardedOptimalOutboxEventExecutor.kt,MAINTENANCE_UPSERTED|execute,SERVER_REVISION_REFERENCE_ONLY,,,optimal_maintenance_records|optimal_maintenance_images|optimal_outbox,UPSERT|COMMAND,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
OPTIMAL_VEHICLE,310,BRIDGE_EXISTING_STRONGER_CONTRACT,SERVER_OWNED,1,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,EXISTING_STREAM_PRESERVED,feature/integration/optimal/src/main/kotlin/com/verto/app/feature/integration/optimal/application/OptimalOutboxSyncParticipant.kt,OptimalOutboxSyncParticipant.syncOrganization,SERVER_REVISION_REFERENCE_ONLY,,,optimal_vehicles|optimal_outbox,UPSERT|DELETE,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,SERVER_OWNED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
ORGANIZATION_SETTINGS,307,OPTIMISTIC_VERSION,NO_CLIENT_DELETE,1,organization_settings,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,app/src/main/kotlin/com/verto/app/feature/organization/bridge/OrganizationSyncParticipant.kt|data/operations/src/main/kotlin/com/verto/app/data/repository/Orgsettingsrepository.kt,OrganizationSyncParticipant.operations|saveOrgSettings|pushToSupabase,FULL_SNAPSHOT_OR_NO_CURSOR,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyOrganizationSettings,DataStore org settings,UPSERT|COMMAND,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyOrganizationSettings
PARTY_IDENTITY,307,BRIDGE_EXISTING_STRONGER_CONTRACT,TOMBSTONE,2,clients|verto_upsert_client_v1,EXISTING_PARTY_CONTRACT_PRESERVED,data/network/src/main/kotlin/com/verto/app/data/sync/PartySyncV2Contract.kt|data/network/src/main/kotlin/com/verto/app/data/sync/SyncClients.kt,PartyMutationV2|pushClients,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyPartyIdentity,clients,UPSERT|DELETE,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,TOMBSTONE,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyPartyIdentity
PARTY_ROLE,307,BRIDGE_EXISTING_STRONGER_CONTRACT,TOMBSTONE,2,clients|verto_upsert_client_v1,EXISTING_PARTY_CONTRACT_PRESERVED,data/database/src/main/kotlin/com/verto/app/data/local/entity/PartyNormalizedEntities.kt|data/network/src/main/kotlin/com/verto/app/data/sync/PartySyncV2Contract.kt,PartyRoleEntity|PartyMutationV2,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyPartyRole,party_roles,UPSERT|DELETE,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,TOMBSTONE,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyPartyRole
PAYMENT,310,APPEND_ONLY_IDEMPOTENT,VOID_OR_REVERSE,1,payments|payment_allocations|realized_fx_events|financial_sync_apply_event_v1,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED|NOT_APPLICABLE_UNTIL_OWNER_SESSION,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInvoicePayments.kt|data/network/src/main/kotlin/com/verto/app/data/sync/SyncFinancialEvents.kt,pushPayments|pushFinancialOutbox,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,,,payments|payment_allocations|realized_fx_events|financial_outbox|financial_inbox,DEFERRED_TO_310,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,VOID_OR_REVERSE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
PRICE_LIST,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,price_list_header|price_list_items,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pushPriceList|pushPriceListDeletions|pullPriceList,FULL_SNAPSHOT_OR_NO_CURSOR,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyPriceList,price_list_header|price_list_items,UPSERT|DELETE,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,VERSIONED_DELETE,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyPriceList
PURCHASE_MATCH,310,SEMANTIC_COMMAND,NO_CLIENT_DELETE,1,purchase_invoice_matches|purchase_invoice_match_lines|purchase_invoice_receipt_allocations|verto_purchase_cycle_push_post_v253,NOT_APPLICABLE_UNTIL_OWNER_SESSION,data/network/src/main/kotlin/com/verto/app/data/sync/SyncPurchaseCycle.kt,pushPurchaseCyclePostInvoices|pullPurchaseCyclePostInvoices,FULL_SNAPSHOT_OR_NO_CURSOR,,,purchase_invoice_matches|purchase_invoice_match_lines|purchase_invoice_receipt_allocations,UPSERT|COMMAND,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
PURCHASE_ORDER,307,SERVER_STATE_MACHINE,CANCEL_STATE_TRANSITION,1,purchase_orders|purchase_order_lines|verto_purchase_cycle_push_pre_v253,NOT_APPLICABLE_UNTIL_OWNER_SESSION,data/network/src/main/kotlin/com/verto/app/data/sync/SyncPurchaseCycle.kt,pushPurchaseCyclePreInvoices|pullPurchaseCyclePreInvoices,FULL_SNAPSHOT_OR_NO_CURSOR,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyPurchaseOrder,purchase_orders|purchase_order_lines,UPSERT|CANCEL,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,CANCEL_STATE_TRANSITION,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyPurchaseOrder
PURCHASE_PAYMENT_OVERRIDE,310,SEMANTIC_COMMAND,NO_CLIENT_DELETE,1,purchase_payment_overrides|verto_purchase_cycle_push_post_v253,NOT_APPLICABLE_UNTIL_OWNER_SESSION,data/network/src/main/kotlin/com/verto/app/data/sync/SyncPurchaseCycle.kt,pushPurchaseCyclePostInvoices|pullPurchaseCyclePostInvoices,FULL_SNAPSHOT_OR_NO_CURSOR,,,purchase_payment_overrides,UPSERT|COMMAND,BLOCK_BEFORE_GENERIC_APPLY,N/A_DEFERRED,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,NO_CLIENT_DELETE,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPullRegistry#DEFERRED_STRONGER_STREAM_310
REMINDER,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,client_reminders,LEGACY_PATH_PRESERVED_CUTOVER_DISABLED,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pushReminders|pullReminders,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt,applyReminder,client_reminders,UPSERT|DELETE,sync_outbox aggregate guard + Party stronger outbox guard,YES,WHOLE_PAGE/WHOLE_SERVER_TRANSACTION_GROUP_ATOMIC,VERSIONED_DELETE,V2_OFF_LEGACY_DEFAULT,SHADOW_APPLIER_READY,data/sync/src/main/kotlin/com/verto/app/data/sync/pull/UnifiedSyncChangeApplier.kt#applyReminder
