aggregate_type,producer_evidence,source_owner,source_identity,protected_keys,mutability,serializer,applier,recovery,terminal_predicate
GOODS_RECEIPT,"app/src/main/kotlin/com/verto/app/feature/shipment/bridge/LogisticsReceivingAdapters.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,"GOODS_RECEIPT:goodsReceiptId;PURCHASE_ORDER:purchaseOrderId",SEMANTIC/NO_CLIENT_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
PURCHASE_MATCH,data/sync/src/main/kotlin/com/verto/app/data/sync/UnifiedOutboxWriter.kt:enqueue,sync_outbox,mutation_id,"PURCHASE_MATCH:purchaseMatchId;PURCHASE_ORDER:purchaseOrderId",SEMANTIC/NO_CLIENT_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
PURCHASE_PAYMENT_OVERRIDE,data/sync/src/main/kotlin/com/verto/app/data/sync/UnifiedOutboxWriter.kt:enqueue,sync_outbox,mutation_id,"PURCHASE_PAYMENT_OVERRIDE:overrideId;PURCHASE_ORDER:purchaseOrderId",SEMANTIC/NO_CLIENT_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
INVENTORY_ITEM,"feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryRoomAdapters.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,INVENTORY_ITEM:itemId,OPTIMISTIC/ARCHIVE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
INVENTORY_UNIT,"feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,INVENTORY_UNIT:unitId,OPTIMISTIC/VERSIONED_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
CATEGORY,"feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,CATEGORY:categoryId,OPTIMISTIC/VERSIONED_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
ITEM_CATEGORY,"feature/inventory/src/main/kotlin/com/verto/app/data/repository/InventoryRepository.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,ITEM_CATEGORY:itemCategoryId,OPTIMISTIC/VERSIONED_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
INVENTORY_MOVEMENT,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryStockWriter.kt:enqueue,inventory_stock_outbox,id,"INVENTORY_MOVEMENT:movementId;INVENTORY_ITEM:itemId",APPEND_ONLY/NO_CLIENT_DELETE,UnifiedStrongerSourceFactory.inventoryMovement,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,"ACKNOWLEDGED|SYNCED"
INVENTORY_COST_REVISION,feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryStockWriter.kt:enqueue,inventory_cost_outbox,id,"INVENTORY_COST_REVISION:costRevisionId;INVENTORY_ITEM:itemId",IMMUTABLE/NO_CLIENT_DELETE,UnifiedStrongerSourceFactory.inventoryCost,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,"ACKNOWLEDGED|SYNCED"
COST_ALLOCATION,"data/sync/src/main/kotlin/com/verto/app/data/sync/UnifiedOutboxWriter.kt:enqueue",sync_outbox,mutation_id,"COST_ALLOCATION:costAllocationId;INVENTORY_ITEM:itemId",IMMUTABLE/NO_CLIENT_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
EXPENSE,"data/operations/src/main/kotlin/com/verto/app/data/repository/ExpenseRepository.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,EXPENSE:expenseId,SEMANTIC/VOID_OR_REVERSE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
BUDGET,"data/operations/src/main/kotlin/com/verto/app/data/repository/BudgetRepository.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,BUDGET:budgetId,OPTIMISTIC/VERSIONED_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
CASH_REGISTER,data/sync/src/main/kotlin/com/verto/app/data/sync/UnifiedOutboxWriter.kt:enqueue,sync_outbox,mutation_id,CASH_REGISTER:registerId,SERVER_AUTHORITATIVE/NO_CLIENT_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
CASH_MOVEMENT,"data/operations/src/main/kotlin/com/verto/app/utils/CashMovementSyncWriter.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,"CASH_MOVEMENT:cashMovementId;CASH_REGISTER:registerId",APPEND_ONLY/NO_CLIENT_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
CASH_RECONCILIATION,"data/operations/src/main/kotlin/com/verto/app/data/repository/CashReconciliationRepository.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,"CASH_RECONCILIATION:reconciliationId;CASH_DENOMINATIONS:reconciliationId;CASH_REGISTER:registerId",SEMANTIC/NO_CLIENT_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
COMMISSION_PAYMENT,data/sync/src/main/kotlin/com/verto/app/data/sync/UnifiedOutboxWriter.kt:enqueue,sync_outbox,mutation_id,COMMISSION_PAYMENT:commissionPaymentId,APPEND_ONLY/NO_CLIENT_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
PRICE_LIST,"feature/inventory/src/main/kotlin/com/verto/app/feature/inventory/data/InventoryPresentationAdapters.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,PRICE_LIST:priceListId,OPTIMISTIC/VERSIONED_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
NOTIFICATION,"data/network/src/main/kotlin/com/verto/app/data/sync/SyncNotifications.kt:get_my_notifications_page_v1 (server read only)",none,notificationId,NOTIFICATION:notificationId,SERVER_AUTHORITATIVE/SERVER_OWNED,server DTO,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,N/A
ORGANIZATION_SETTINGS,"data/operations/src/main/kotlin/com/verto/app/data/repository/Orgsettingsrepository.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,ORGANIZATION_SETTINGS:organizationId,OPTIMISTIC/NO_CLIENT_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
SHIPMENT,"app/src/main/kotlin/com/verto/app/feature/shipment/bridge/LogisticsV2AppAdapters.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,SHIPMENT:shipmentId,STATE_MACHINE/CANCEL,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
EDUCATIONAL_CONTENT,"feature/dashboard/src/main/kotlin/com/verto/app/feature/dashboard/data/education/RoomEducationalContentRepository.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,EDUCATIONAL_CONTENT:topicId,OPTIMISTIC/VERSIONED_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
TEAM_OBSERVATION,"feature/dashboard/src/main/kotlin/com/verto/app/feature/dashboard/data/observation/RoomTeamObservationRepository.kt:UnifiedOutboxWriter.enqueue",sync_outbox,mutation_id,TEAM_OBSERVATION:observationId,STATE_MACHINE/NO_CLIENT_DELETE,UnifiedOutboxWriter.canonicalPayload,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,ACKNOWLEDGED
OPTIMAL_VEHICLE,"data/database/src/main/kotlin/com/verto/app/data/local/dao/OptimalOutboxDao.kt and app Optimal adapters",optimal_outbox,"organization_id/event_id",OPTIMAL_VEHICLE:remoteVehicleId,BRIDGE/SERVER_OWNED,Optimal payload_json,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,"ACKNOWLEDGED|SYNCED"
OPTIMAL_MAINTENANCE,"data/database/src/main/kotlin/com/verto/app/data/local/dao/OptimalOutboxDao.kt and app Optimal adapters",optimal_outbox,"organization_id/event_id","OPTIMAL_MAINTENANCE:maintenanceId;OPTIMAL_VEHICLE:vehicleId",BRIDGE/NO_CLIENT_DELETE,Optimal payload_json,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,"ACKNOWLEDGED|SYNCED"
OPTIMAL_FOLLOW_UP,"data/database/src/main/kotlin/com/verto/app/data/local/dao/OptimalOutboxDao.kt and app Optimal adapters",optimal_outbox,"organization_id/event_id",OPTIMAL_FOLLOW_UP:followUpId,BRIDGE/NO_CLIENT_DELETE,Optimal payload_json,UnifiedSyncChangeApplier.apply,UnifiedSyncSnapshotApplier,"ACKNOWLEDGED|SYNCED"
__SPECIALIZED_ATTACHMENT__,"app/src/main/kotlin/com/verto/app/feature/shipment/bridge/LogisticsShipmentStoreAdapters.kt:enqueueAttachmentIntent",sync_attachment_transfer,"organization_id/transfer_id/content_checksum","documentId;parent aggregate",STATE_MACHINE,attachment metadata,AttachmentTransferCoordinatorV2,UnifiedSyncSnapshotApplier,"COMPLETED|CANCELLED"
